"lon","lat","owner","watershed","type","form"
"-81.12127385730682","32.07210353432616","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08889860833105","32.07182611128363","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08879162047586","32.07181369215073","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09224529779912","32.07182429640694","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12114035501757","32.072062230494666","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08346579757608","32.071732541575045","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0920635612738","32.07178513297409","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10329689829187","32.07053883405251","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.11494940573138","32.07063213280257","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.12251432192197","32.070682668185896","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.12183747507174","32.0706234875537","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10914040927406","32.07051437892913","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.05134760107686","32.06695227673426","CITY-ROW","PLACENTIA","CURB INLET",""
"-81.05410256412182","32.0669663586024","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.10397592267925","32.06739080651319","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.0884814946504","32.067248547654756","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.05838846246327","32.06697745880243","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.10341441392863","32.06735792143595","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.13179152718425","32.06758854705417","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.07834944814472","32.06713551446319","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.06065171840133","32.066961155512764","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.05825294558687","32.06693899132771","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.08850689369775","32.0671743468042","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.05413118556032","32.06688500534095","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.08834746021098","32.067175965962626","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.06082707266262","32.06690822322277","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.0535565773506","32.0668366657867","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.13176902033057","32.06749112471482","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.06068532038456","32.06688079463666","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.08244942886854","32.07016205872312","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11862813498739","32.069748293144116","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
